City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Yellowknife,CA,61.32,scattered clouds,62.456,-114.3525,The Explorer Hotel
141,Puerto Ayora,EC,69.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
142,Lunenburg,CA,68.05,clear sky,44.3835,-64.3155,Lunenburg Arms Hotel
143,Galesong,ID,89.62,few clouds,-5.3166,119.3661,Sapriadi Appy
144,Sisimiut,GL,46.17,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
145,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
146,San Carlos,VE,70.27,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
147,Salalah,OM,78.73,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
148,Monrovia,LR,75.36,overcast clouds,6.3005,-10.7969,Sunset Inn
149,Iqaluit,CA,42.53,broken clouds,63.7506,-68.5145,Frobisher Inn
150,Samarinda,ID,86.63,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
151,Tabas,IR,101.43,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
153,Broome,AU,80.55,clear sky,-17.9667,122.2333,Mangrove Hotel
154,Lillesand,NO,62.89,broken clouds,58.2488,8.3778,Lillesand Hotel Norway
156,Aldama,MX,75.36,clear sky,22.9167,-98.0667,CASA CANYE
157,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
158,Calabozo,VE,74.53,broken clouds,8.9242,-67.4293,Hotel Giardini
159,Fuerte Olimpo,PY,68.63,clear sky,-21.0415,-57.8738,Hospedaje DAMI
160,Arlit,NE,88.03,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
161,Torbay,CA,66.97,overcast clouds,47.6666,-52.7314,Gallows Cove
162,Mnogovershinnyy,RU,71.92,scattered clouds,53.9353,139.9242,Obshchezhitiye 14
163,Leningradskiy,RU,38.1,broken clouds,69.3833,178.4167,Gostinitsa
165,Ulaangom,MN,74.3,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
166,Goderich,CA,73.9,scattered clouds,43.7501,-81.7165,Harmony Inn
167,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
168,Clyde River,CA,44.83,clear sky,70.4692,-68.5914,Qamaq Hotel
169,Safidon,IN,92.88,overcast clouds,29.4167,76.6667,OYO 69884 Shri Balaji Guest House
170,Palmeiras De Goias,BR,63.36,clear sky,-16.805,-49.9258,Hotel Água Virada
171,Green River,US,73.98,broken clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
172,Christchurch,NZ,46.6,overcast clouds,-43.5333,172.6333,The George
173,Upata,VE,74.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
174,Great Bend,US,88.03,scattered clouds,38.3645,-98.7648,Best Western Angus Inn
175,Vanimo,PG,84.47,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
176,Bilma,NE,89.83,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
177,Abu Dhabi,AE,105.82,clear sky,24.4667,54.3667,Beach Rotana
178,Monteagudo,BO,55.42,clear sky,-19.8167,-63.9833,"Residencial ""OLIVIA"""
179,La Baule-Escoublac,FR,56.86,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
180,Balkanabat,TM,88.14,clear sky,39.5108,54.3671,Nebitchi Hotel
181,Tateyama,JP,84.09,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
182,Kimberley,ZA,55.09,broken clouds,-28.7323,24.7623,Welgewandel Guesthouse
183,Moree,AU,68.14,clear sky,-29.4667,149.85,Molika Springs Motel
184,Demirci,TR,72.68,clear sky,39.0461,28.6589,Sungur Otel
185,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
186,Yavatmal,IN,72.1,moderate rain,20.4,78.1333,Palash Inn
187,Solnechnyy,RU,64.81,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
