City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Tuktoyaktuk,CA,2022-07-21 17:26:11,69.4541,-133.0374,51.8,93,100,3.44
140,Cacoal,BR,2022-07-21 17:26:12,-11.4386,-61.4472,95.32,22,4,5.08
141,Mareeba,AU,2022-07-21 17:26:13,-17.0,145.4333,64.44,89,67,1.81
142,Bilibino,RU,2022-07-21 17:26:13,68.0546,166.4372,37.17,63,47,3.33
143,Labuhan,ID,2022-07-21 17:26:14,-6.8844,112.2051,75.83,82,80,8.66
144,Lovozero,RU,2022-07-21 17:26:14,68.005,35.0117,70.92,73,95,2.98
145,Bathurst,AU,2022-07-21 17:26:15,-33.4166,149.5806,47.97,84,87,1.99
146,Poya,NC,2022-07-21 17:26:15,-21.35,165.15,72.7,88,17,7.9
147,Millinocket,US,2022-07-21 17:26:16,45.6573,-68.7098,89.71,51,20,10.36
148,Kolvereid,NO,2022-07-21 17:26:16,64.8655,11.6047,56.28,87,99,12.88
149,Taonan,CN,2022-07-21 17:26:17,45.3333,122.7833,72.45,69,13,5.1
150,Sisimiut,GL,2022-07-21 17:26:17,66.9395,-53.6735,48.22,90,100,15.84
151,Havelock,US,2022-07-21 17:26:18,34.8791,-76.9013,91.36,81,40,23.02
152,Muli,MV,2022-07-21 17:26:18,2.9167,73.5667,80.65,78,100,12.57
153,Kaeo,NZ,2022-07-21 17:26:19,-35.1,173.7833,50.32,94,35,3.74
154,Saskylakh,RU,2022-07-21 17:26:20,71.9167,114.0833,48.24,73,99,11.21
155,Muroto,JP,2022-07-21 17:26:20,33.2833,134.15,79.83,89,9,10.38
156,North Platte,US,2022-07-21 17:26:21,41.1239,-100.7654,91.29,34,0,8.01
157,Ystad,SE,2022-07-21 17:26:22,55.4297,13.8204,75.94,68,99,17.4
158,Port Blair,IN,2022-07-21 17:26:22,11.6667,92.75,80.64,89,100,2.3
159,Sidmouth,GB,2022-07-21 17:26:23,50.6909,-3.2397,72.88,66,20,9.22
160,Chara,RU,2022-07-21 17:26:23,56.9064,118.2631,61.9,86,85,3.22
161,Tres Arroyos,AR,2022-07-21 17:26:24,-38.3739,-60.2798,53.83,24,46,6.24
162,Nchelenge,ZM,2022-07-21 17:26:25,-9.3451,28.734,73.58,50,50,6.2
163,Murgab,TM,2022-07-21 17:26:25,37.4966,61.9714,94.87,28,0,4.61
164,Faanui,PF,2022-07-21 17:26:26,-16.4833,-151.75,77.22,73,19,12.39
165,Ust-Barguzin,RU,2022-07-21 17:26:26,53.45,108.9833,55.44,75,100,4.29
166,Boyolangu,ID,2022-07-21 17:26:27,-8.1181,111.8935,73.31,90,81,5.44
167,Trairi,BR,2022-07-21 17:25:48,-3.2778,-39.2689,82.98,65,98,11.48
168,Bengkulu,ID,2022-07-21 17:26:28,-3.8004,102.2655,75.63,92,72,4.23
169,Dingle,PH,2022-07-21 17:26:28,10.9995,122.6711,77.85,91,100,5.08
170,Barcelos,PT,2022-07-21 17:26:29,41.5388,-8.6151,84.92,51,6,5.91
171,Yulara,AU,2022-07-21 17:26:30,-25.2406,130.9889,50.14,40,5,8.48
172,Bealanana,MG,2022-07-21 17:26:30,-14.55,48.7333,53.28,95,8,4.59
173,Provideniya,RU,2022-07-21 17:26:31,64.3833,-173.3,39.99,77,99,10.09
174,Belmonte,BR,2022-07-21 17:26:31,-15.8631,-38.8828,76.33,72,19,9.98
175,Mar Del Plata,AR,2022-07-21 17:26:07,-38.0023,-57.5575,56.08,53,0,14.0
176,Santa Lucia,ES,2022-07-21 17:26:32,27.9117,-15.5407,73.94,61,20,33.38
177,Fortuna,US,2022-07-21 17:24:15,40.5982,-124.1573,57.92,87,83,5.93
178,Stromness,GB,2022-07-21 17:26:33,58.965,-3.296,57.16,86,43,10.0
179,Elizabeth City,US,2022-07-21 17:26:34,36.2946,-76.2511,90.01,73,75,16.11
180,Wuwei,CN,2022-07-21 17:26:34,37.9281,102.6414,56.32,67,41,5.3
181,Yichang,CN,2022-07-21 17:27:35,30.7144,111.2847,79.32,91,96,2.71
182,Bantry,IE,2022-07-21 17:27:35,51.6833,-9.45,57.78,93,100,4.36
183,Kavieng,PG,2022-07-21 17:23:13,-2.5744,150.7967,81.0,80,100,10.04
184,Sibu,MY,2022-07-21 17:27:36,2.3,111.8167,79.11,89,40,1.14
185,Mount Gambier,AU,2022-07-21 17:24:21,-37.8333,140.7667,47.23,85,62,8.05
186,Plover,US,2022-07-21 17:27:37,44.4564,-89.544,83.25,51,40,11.5
187,Lufilufi,WS,2022-07-21 17:27:38,-13.8745,-171.5986,73.18,74,18,19.86
188,Kulhudhuffushi,MV,2022-07-21 17:27:38,6.6221,73.07,81.66,78,100,17.74
189,Eenhana,NA,2022-07-21 17:27:39,-17.4667,16.3333,66.43,20,0,6.53
190,Te Anau,NZ,2022-07-21 17:27:40,-45.4167,167.7167,33.39,94,43,1.7
191,Kruisfontein,ZA,2022-07-21 17:27:40,-34.0033,24.7314,49.89,85,0,1.54
192,Salalah,OM,2022-07-21 17:26:26,17.0151,54.0924,77.09,94,100,6.91
193,San Cristobal,VE,2022-07-21 17:26:20,7.7669,-72.225,77.18,67,94,6.93
194,Le Mars,US,2022-07-21 17:26:53,42.7942,-96.1656,89.11,39,0,8.05
195,Krasnyy Kholm,RU,2022-07-21 17:27:41,58.0607,37.1203,64.47,72,32,7.02
196,Ulaanbaatar,MN,2022-07-21 17:27:42,47.9077,106.8832,60.93,88,75,4.47
197,Paralimni,CY,2022-07-21 17:27:43,35.0375,33.9833,88.29,95,0,5.99
198,Bugasong,PH,2022-07-21 17:27:43,11.0439,122.0659,80.33,82,100,4.16
199,Key Largo,US,2022-07-21 17:27:35,25.0865,-80.4473,93.0,58,50,12.1
200,Harrisonburg,US,2022-07-21 17:26:42,38.4496,-78.8689,91.71,52,75,4.61
201,Juneau,US,2022-07-21 17:27:44,58.3019,-134.4197,54.84,98,100,9.22
202,Ahipara,NZ,2022-07-21 17:27:44,-35.1667,173.1667,54.03,85,82,7.2
203,Arraial Do Cabo,BR,2022-07-21 17:27:45,-22.9661,-42.0278,78.76,69,20,16.11
204,Sur,OM,2022-07-21 17:27:46,22.5667,59.5289,89.06,65,98,10.29
205,Padang,ID,2022-07-21 17:23:32,-0.9492,100.3543,77.61,88,99,3.36
206,Ewa Beach,US,2022-07-21 17:27:47,21.3156,-158.0072,76.08,85,100,6.91
207,Port Shepstone,ZA,2022-07-21 17:27:47,-30.7414,30.455,65.66,75,58,12.68
208,Zaysan,KZ,2022-07-21 17:27:48,47.4667,84.8667,71.22,34,58,3.85
209,Qaqortoq,GL,2022-07-21 17:27:49,60.7167,-46.0333,51.3,83,10,7.23
210,Ballina,AU,2022-07-21 17:27:49,-28.8667,153.5667,59.04,99,98,21.09
211,Saldanha,ZA,2022-07-21 17:27:50,-33.0117,17.9442,51.85,73,50,9.04
212,Svetlaya,RU,2022-07-21 17:27:50,46.5389,138.3297,58.93,95,100,4.92
213,Angoram,PG,2022-07-21 17:27:51,-4.0625,144.0661,73.38,98,95,1.66
214,Mahebourg,MU,2022-07-21 17:27:51,-20.4081,57.7,70.09,73,40,14.97
215,Paka,MY,2022-07-21 17:27:52,4.6374,103.4368,76.93,94,59,0.0
216,Diego De Almagro,CL,2022-07-21 17:27:53,-26.3667,-70.05,65.91,36,72,4.36
217,Cabra,ES,2022-07-21 17:27:53,37.4725,-4.4421,96.75,19,0,12.26
218,Buenos Aires,AR,2022-07-21 17:25:51,-34.6132,-58.3772,67.68,51,100,6.31
219,Vincennes,FR,2022-07-21 17:26:42,48.85,2.4333,82.15,51,0,6.91
220,Krasnyy Chikoy,RU,2022-07-21 17:27:54,50.3643,108.7512,59.31,99,99,1.9
221,Turukhansk,RU,2022-07-21 17:27:54,65.8167,87.9833,56.75,77,68,7.38
222,Abalak,RU,2022-07-21 17:27:55,58.1286,68.5944,56.91,93,98,5.64
223,Goderich,CA,2022-07-21 17:27:55,43.7501,-81.7165,75.52,73,11,9.22
224,Kavaratti,IN,2022-07-21 17:27:56,10.5669,72.642,80.98,81,89,20.33
225,Algiers,DZ,2022-07-21 17:22:59,36.7525,3.042,80.42,78,40,17.27
226,Kouqian,CN,2022-07-21 17:28:56,43.6391,126.4578,66.74,93,100,1.57
227,Kihei,US,2022-07-21 17:25:54,20.785,-156.4656,73.42,83,40,11.5
228,Constitucion,CL,2022-07-21 17:28:57,-35.3333,-72.4167,59.34,69,20,7.23
229,Lorengau,PG,2022-07-21 17:28:58,-2.0226,147.2712,80.28,78,98,4.99
230,Missoula,US,2022-07-21 17:28:58,46.8722,-113.994,84.25,33,0,4.61
231,Santander,ES,2022-07-21 17:25:52,43.4647,-3.8044,80.31,82,20,13.0
232,Los Andes,CL,2022-07-21 17:28:59,-32.8337,-70.5983,67.01,27,7,1.77
233,Mishan,CN,2022-07-21 17:28:59,45.55,131.8833,63.88,96,2,4.47
234,Gornopravdinsk,RU,2022-07-21 17:29:00,60.05,69.9,58.93,56,96,4.88
235,Esperance,AU,2022-07-21 17:29:01,-33.8667,121.9,53.44,72,63,18.45
236,Isla Vista,US,2022-07-21 17:29:01,34.4133,-119.861,87.35,56,0,4.61
237,Paamiut,GL,2022-07-21 17:29:02,61.994,-49.6678,46.51,89,60,7.05
238,Bunia,CD,2022-07-21 17:29:03,1.5667,30.25,69.04,61,51,3.24
239,Portland,US,2022-07-21 17:28:40,45.5234,-122.6762,76.05,67,20,5.01
240,Ostersund,SE,2022-07-21 17:29:04,63.1792,14.6357,58.6,88,75,8.05
241,Benjamin Hill,MX,2022-07-21 17:26:00,30.1667,-111.1,87.26,42,80,4.47
242,Leningradskiy,RU,2022-07-21 17:29:05,69.3833,178.4167,33.48,99,100,12.97
243,Gilgit,PK,2022-07-21 17:29:05,35.9221,74.3087,91.09,36,100,4.16
244,Sulina,RO,2022-07-21 17:29:06,45.1559,29.6536,72.82,53,0,10.74
245,Anadyr,RU,2022-07-21 17:29:06,64.75,177.4833,45.1,75,0,4.47
246,Kargasok,RU,2022-07-21 17:29:07,59.0556,80.8572,57.38,94,97,6.06
247,Ribeira Grande,PT,2022-07-21 17:29:07,38.5167,-28.7,77.4,78,40,8.05
248,Tuatapere,NZ,2022-07-21 17:29:08,-46.1333,167.6833,43.38,89,97,2.71
249,Liverpool,GB,2022-07-21 17:28:11,53.4106,-2.9779,68.65,67,75,8.05
250,Soe,ID,2022-07-21 17:29:09,-9.8607,124.284,61.92,94,41,3.62
251,Mahajanga,MG,2022-07-21 17:29:09,-15.7167,46.3167,77.02,47,20,10.36
252,Burnie,AU,2022-07-21 17:29:10,-41.0667,145.9167,48.94,73,55,10.22
253,Scalea,IT,2022-07-21 17:29:11,39.813,15.7956,82.29,59,2,1.79
254,Jeremie,HT,2022-07-21 17:29:11,18.65,-74.1167,87.22,60,99,4.65
255,Cidreira,BR,2022-07-21 17:29:12,-30.1811,-50.2056,72.45,71,97,1.68
256,Yar-Sale,RU,2022-07-21 17:29:13,66.8333,70.8333,46.29,80,100,5.82
257,Petropavlovsk-Kamchatskiy,RU,2022-07-21 17:29:13,53.0452,158.6483,57.79,100,100,2.24
