City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Gaziantep,TR,37.0594,37.3825,80.53,18,0,17.27,clear sky
117,Kang,BW,-23.6752,22.7876,57.09,62,34,8.88,scattered clouds
118,Isla Vista,US,34.4133,-119.861,78.35,53,5,2.46,clear sky
119,Lebu,CL,-37.6167,-73.65,53.24,95,100,15.66,overcast clouds
120,Haysville,US,37.5645,-97.3523,83.26,65,0,12.66,clear sky
121,Mae Sot,TH,16.7167,98.5667,85.95,66,20,4.61,few clouds
122,Gobabis,NA,-22.45,18.9667,51.64,60,13,10.76,few clouds
123,Kavieng,PG,-2.5744,150.7967,84.25,71,22,10.56,few clouds
124,Whitehorse,CA,60.7161,-135.0538,52.57,66,75,17.27,broken clouds
125,Siuna,NI,13.7332,-84.7773,71.55,98,99,3.42,overcast clouds
126,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,77,75,2.3,broken clouds
127,Sao Filipe,CV,14.8961,-24.4956,74.8,82,58,2.13,broken clouds
128,Malumfashi,NG,11.7853,7.6218,71.04,90,100,6.82,overcast clouds
129,Oranjemund,NA,-28.55,16.4333,51.87,88,72,7.11,broken clouds
130,Aykhal,RU,66.0,111.5,73.83,42,23,5.55,few clouds
131,Lompoc,US,34.6391,-120.4579,58.93,84,100,20.0,overcast clouds
132,Mandalgovi,MN,45.7625,106.2708,78.19,22,90,10.11,overcast clouds
133,Helong,CN,42.5397,128.9972,74.98,75,99,4.52,overcast clouds
134,Abha,SA,18.2164,42.5053,71.42,64,0,4.61,clear sky
135,Faanui,PF,-16.4833,-151.75,79.03,74,12,13.27,light rain
136,Karasjok,NO,69.4719,25.5112,54.46,80,95,9.44,overcast clouds
137,Alekseyevka,RU,50.6309,38.6903,65.57,76,91,10.98,overcast clouds
138,Talnakh,RU,69.4865,88.3972,79.21,27,10,10.13,clear sky
139,Walvis Bay,NA,-22.9575,14.5053,55.09,93,0,8.05,clear sky
140,Yellowknife,CA,62.456,-114.3525,61.32,72,40,6.91,scattered clouds
141,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,29,5.01,scattered clouds
142,Lunenburg,CA,44.3835,-64.3155,68.05,88,2,0.0,clear sky
143,Galesong,ID,-5.3166,119.3661,89.62,70,16,15.3,few clouds
144,Sisimiut,GL,66.9395,-53.6735,46.17,86,100,6.02,overcast clouds
145,Souillac,MU,-20.5167,57.5167,71.98,78,75,16.11,broken clouds
146,San Carlos,VE,9.6612,-68.5827,70.27,95,33,2.82,scattered clouds
147,Salalah,OM,17.0151,54.0924,78.73,85,99,14.25,light rain
148,Monrovia,LR,6.3005,-10.7969,75.36,83,93,8.12,overcast clouds
149,Iqaluit,CA,63.7506,-68.5145,42.53,93,75,3.44,broken clouds
150,Samarinda,ID,-0.5,117.15,86.63,66,99,4.94,overcast clouds
151,Tabas,IR,33.5959,56.9244,101.43,9,0,3.29,clear sky
152,Temirgoyevskaya,RU,45.1141,40.2803,70.23,68,42,17.96,light rain
153,Broome,AU,-17.9667,122.2333,80.55,50,0,12.66,clear sky
154,Lillesand,NO,58.2488,8.3778,62.89,72,75,3.44,broken clouds
155,Provideniya,RU,64.3833,-173.3,48.16,72,97,4.94,overcast clouds
156,Aldama,MX,22.9167,-98.0667,75.36,92,1,0.87,clear sky
157,Alofi,NU,-19.0595,-169.9187,75.09,83,25,5.75,scattered clouds
158,Calabozo,VE,8.9242,-67.4293,74.53,86,62,3.29,broken clouds
159,Fuerte Olimpo,PY,-21.0415,-57.8738,68.63,50,6,4.41,clear sky
160,Arlit,NE,18.7369,7.3853,88.03,43,77,4.0,broken clouds
161,Torbay,CA,47.6666,-52.7314,66.97,90,100,8.05,overcast clouds
162,Mnogovershinnyy,RU,53.9353,139.9242,71.92,33,42,6.11,scattered clouds
163,Leningradskiy,RU,69.3833,178.4167,38.1,78,53,6.26,broken clouds
164,Saskylakh,RU,71.9167,114.0833,60.21,52,97,6.17,overcast clouds
165,Ulaangom,MN,49.9811,92.0667,74.3,31,52,9.22,broken clouds
166,Goderich,CA,43.7501,-81.7165,73.9,73,26,8.05,scattered clouds
167,Port Blair,IN,11.6667,92.75,80.64,89,100,4.61,mist
168,Clyde River,CA,70.4692,-68.5914,44.83,87,0,4.61,clear sky
169,Safidon,IN,29.4167,76.6667,92.88,53,97,14.92,overcast clouds
170,Palmeiras De Goias,BR,-16.805,-49.9258,63.36,52,0,5.17,clear sky
171,Green River,US,41.5286,-109.4662,73.98,37,57,1.01,broken clouds
172,Christchurch,NZ,-43.5333,172.6333,46.6,66,100,8.05,overcast clouds
173,Upata,VE,8.0086,-62.3989,74.19,99,68,2.86,broken clouds
174,Great Bend,US,38.3645,-98.7648,88.03,41,40,14.97,scattered clouds
175,Vanimo,PG,-2.6741,141.3028,84.47,71,21,8.59,few clouds
176,Bilma,NE,18.6853,12.9164,89.83,33,76,6.22,broken clouds
177,Abu Dhabi,AE,24.4667,54.3667,105.82,29,0,9.22,clear sky
178,Monteagudo,BO,-19.8167,-63.9833,55.42,89,3,2.73,clear sky
179,La Baule-Escoublac,FR,47.2922,-2.364,56.86,94,0,3.44,clear sky
180,Balkanabat,TM,39.5108,54.3671,88.14,40,0,7.4,clear sky
181,Tateyama,JP,34.9833,139.8667,84.09,75,0,20.96,clear sky
182,Kimberley,ZA,-28.7323,24.7623,55.09,58,75,10.36,broken clouds
183,Moree,AU,-29.4667,149.85,68.14,39,0,8.21,clear sky
184,Demirci,TR,39.0461,28.6589,72.68,27,0,7.11,clear sky
185,Bathsheba,BB,13.2167,-59.5167,79.41,92,75,12.66,broken clouds
186,Yavatmal,IN,20.4,78.1333,72.1,94,100,12.8,moderate rain
187,Solnechnyy,RU,50.7214,136.6319,64.81,74,99,6.46,overcast clouds
188,San Cristobal,VE,7.7669,-72.225,68.18,98,80,2.57,broken clouds
189,Kpalime,TG,6.9,0.6333,68.76,97,100,2.35,overcast clouds
190,Kampot,KH,10.6167,104.1833,87.85,73,99,3.71,overcast clouds
191,Rawson,AR,-43.3002,-65.1023,34.41,97,100,11.97,snow
192,Klaksvik,FO,62.2266,-6.589,50.92,82,100,8.25,overcast clouds
